Source,Target,Type,id,label,timeset,DEPARTURES_PERFORMED,PAYLOAD,SEATS,weight,FREIGHT,DISTANCE,AIR_TIME
10821,10434,Directed,10821_10434,,,1,13800,50,48,0,157,60
11298,10980,Directed,11298_10980,,,671,6851200,29635,22740,256,22935,62198
13487,13230,Directed,13487_13230,,,5,98643,372,337,0,4490,748
10431,10821,Directed,10431_10821,,,1,10000,50,37,0,414,93
12889,11423,Directed,12889_11423,,,322,11030230,51271,46661,1977,25536,47534
12451,13577,Directed,12451_13577,,,1,36000,124,115,0,273,83
11842,11618,Directed,11842_11618,,,1,3274,9,2,0,191,50
15412,13809,Directed,15412_13809,,,1,52560,184,153,0,469,58
11411,13806,Directed,11411_13806,,,2,9100,9,2,4900,346,122
12266,13871,Directed,12266_13871,,,1856,21431010,96855,85237,103880,43736,201614
13931,14960,Directed,13931_14960,,,1,35300,140,26,0,1270,235
10279,14107,Directed,10279_14107,,,1,34600,143,136,0,602,88
12807,12769,Directed,12807_12769,,,356,709400,2450,766,22720,2720,11487
13871,13930,Directed,13871_13930,,,3859,57454447,238576,196938,27895,49504,253318
10590,11140,Directed,10590_11140,,,13,410611,1476,1396,0,12386,1692
10785,10434,Directed,10785_10434,,,1,26200,100,92,0,253,134
16353,12348,Directed,16353_12348,,,1,1320,4,4,0,606,132
12156,15412,Directed,12156_15412,,,1,82900,162,146,0,1626,192
12992,11049,Directed,12992_11049,,,4,40000,200,185,0,1122,367
15278,14805,Directed,15278_14805,,,4,9850,36,7,106,280,97
14709,11833,Directed,14709_11833,,,4,18000,36,11,329,792,240
15502,14574,Directed,15502_14574,,,6,171618,594,462,0,3654,503
12884,10933,Directed,12884_10933,,,1,42500,173,107,0,616,78
14704,14098,Directed,14704_14098,,,3,25950,111,69,0,297,83
13061,13230,Directed,13061_13230,,,2,70000,311,233,0,3124,390
11298,14685,Directed,11298_14685,,,1066,12946596,52717,43584,2253,22200,124294
10241,12719,Directed,10241_12719,,,10,17000,69,27,965,371,264
10551,13369,Directed,10551_13369,,,1008,2379700,6613,2688,116540,6375,34517
15502,13076,Directed,15502_13076,,,2,57206,198,195,0,1272,208
11921,11292,Directed,11921_11292,,,1867,27465509,111876,72547,30142,13356,79214
12206,13256,Directed,12206_13256,,,1,10000,50,48,0,36,17
10783,10247,Directed,10783_10247,,,174,333836,1564,501,15706,2210,6071
11643,13196,Directed,11643_13196,,,4,15500,66,32,0,552,317
10721,15024,Directed,10721_15024,,,200,7480000,30000,27131,2087,16930,42227
12544,10194,Directed,12544_10194,,,9,382500,1556,999,0,3856,1349
12709,11336,Directed,12709_11336,,,1,2800,9,9,0,166,83
12223,10431,Directed,12223_10431,,,1,8650,37,25,0,202,104
13307,12264,Directed,13307_12264,,,1,33803,152,146,0,433,67
11577,16582,Directed,11577_16582,,,1,2442,12,8,0,604,0
14730,11995,Directed,14730_11995,,,212,21451313,129,103,16060445,6300,10163
12266,12951,Directed,12266_12951,,,2818,24928249,124533,97374,0,5025,97732
10739,11898,Directed,10739_11898,,,1,13500,50,35,0,179,45
14761,11259,Directed,14761_11259,,,1,37400,150,142,0,969,142
14107,13476,Directed,14107_13476,,,1020,12188950,51052,41727,0,8372,92652
15589,11869,Directed,15589_11869,,,1205,4217500,22895,19071,0,2052,58928
11298,10747,Directed,11298_10747,,,971,12680050,48320,34296,3067,16388,68692
13931,10821,Directed,13931_10821,,,1468,49828682,207645,141536,425295,6042,56224
12136,10559,Directed,12136_10559,,,1,3230,14,11,0,141,64
10154,16353,Directed,10154_16353,,,4,11040,36,12,0,296,96
12992,10693,Directed,12992_10693,,,3,114000,447,289,1167,981,144
12599,10154,Directed,12599_10154,,,1,2283,9,2,0,199,72
11470,14747,Directed,11470_14747,,,996,17728800,75696,51898,10665,1188,32434
12451,10397,Directed,12451_10397,,,5468,233870673,884622,718889,420483,24570,254912
12773,15741,Directed,12773_15741,,,46,85100,276,18,354,1020,2664
15412,11995,Directed,15412_11995,,,2,29086,117,70,0,456,158
12278,11977,Directed,12278_11977,,,1,10090,44,26,0,676,139
12896,15376,Directed,12896_15376,,,1,29592,56,45,0,541,98
14107,10792,Directed,14107_10792,,,362,12921200,53158,47567,65744,38240,79897
12982,14107,Directed,12982_14107,,,316,15722500,60026,51062,0,35748,105894
10590,11898,Directed,10590_11898,,,6,249581,978,892,0,7536,824
13347,13034,Directed,13347_13034,,,171,1572575,7270,2086,11410,405,2503
13342,10158,Directed,13342_10158,,,1,28603,99,98,0,734,112
14831,14570,Directed,14831_14570,,,605,11640934,45059,33793,175789,3196,27879
10693,12280,Directed,10693_12280,,,1,20640,76,72,0,1437,227
13232,10590,Directed,13232_10590,,,4,114412,396,381,0,6068,902
12892,11921,Directed,12892_11921,,,62,1722830,7856,6816,43,15720,6515
12892,13198,Directed,12892_13198,,,1346,43516455,175897,138467,1084973,72239,225755
14880,10304,Directed,14880_10304,,,119,178725,721,154,225,1659,4483
12720,15838,Directed,12720_15838,,,1,2800,9,3,247,211,80
12853,12807,Directed,12853_12807,,,1,1350,6,2,0,167,74
12892,13871,Directed,12892_13871,,,6,249243,966,771,6618,6650,846
13577,10397,Directed,13577_10397,,,2141,38681470,156356,113578,42959,16484,123533
10590,14831,Directed,10590_14831,,,10,313699,1116,714,0,4390,692
10304,12868,Directed,10304_12868,,,1,3400,9,1,0,235,76
14262,13796,Directed,14262_13796,,,11,374860,1784,588,0,1254,704
12391,10721,Directed,12391_10721,,,286,2139550,9230,2575,0,918,11547
15709,15785,Directed,15709_15785,,,1,1750,9,1,0,237,76
11109,10194,Directed,11109_10194,,,1,37200,135,113,0,576,109
13342,14457,Directed,13342_14457,,,1,13500,50,45,0,765,116
14696,11823,Directed,14696_11823,,,204,15274730,198,98,4282542,1078,3942
11587,11278,Directed,11587_11278,,,2,82195,324,309,0,1398,198
11292,11995,Directed,11292_11995,,,91,2791360,12738,11453,15,13700,15032
12266,15370,Directed,12266_15370,,,3019,32383655,152353,122758,0,19734,197786
13495,11953,Directed,13495_11953,,,3,109300,440,354,0,960,202
11066,11042,Directed,11066_11042,,,1045,11840367,48476,32658,1160,5152,32794
14683,13232,Directed,14683_13232,,,711,25432734,104562,82064,168699,30044,94494
10397,11697,Directed,10397_11697,,,8308,338093391,1326683,1126666,707102,77854,708263
15167,10800,Directed,15167_10800,,,33,95000,419,125,0,48980,10499
13196,14816,Directed,13196_14816,,,22,33600,130,45,0,1905,1145
15502,14696,Directed,15502_14696,,,4,114412,396,357,0,1596,295
11675,12222,Directed,11675_12222,,,2,12000,18,12,0,46,43
14761,10431,Directed,14761_10431,,,138,4943000,22900,20529,0,6975,9517
11267,10158,Directed,11267_10158,,,5,143015,495,376,0,2575,363
11111,11150,Directed,11111_11150,,,3,103544,445,68,0,1791,232
12264,13303,Directed,12264_13303,,,1340,41021183,152428,123587,328557,47892,178227
11109,14747,Directed,11109_14747,,,58,1086920,4060,2908,0,2136,9162
13930,12278,Directed,13930_12278,,,2685,28466565,130388,105633,2793,34104,241685
15856,11588,Directed,15856_11588,,,2,6481,38,8,0,6,26
11433,13487,Directed,11433_13487,,,3245,131863961,521718,404023,353064,72864,285427
13931,10257,Directed,13931_10257,,,1,42500,172,105,0,424,65
10559,10385,Directed,10559_10385,,,1,3373,9,2,0,121,0
14027,12191,Directed,14027_12191,,,1,37400,150,137,0,948,124
10754,10247,Directed,10754_10247,,,38,167800,692,215,698,3237,2285
13930,12280,Directed,13930_12280,,,1,29550,120,115,0,1230,179
11057,15323,Directed,11057_15323,,,1960,22800986,90253,63552,12882,5593,68601
11977,14107,Directed,11977_14107,,,1,61140,224,153,0,1487,189
10599,14107,Directed,10599_14107,,,3,138000,517,492,622,2910,666
13341,12896,Directed,13341_12896,,,1,34923,152,53,0,551,75
13139,14574,Directed,13139_14574,,,6,48000,214,103,0,215,122
12197,13731,Directed,12197_13731,,,9,46350,78,17,0,650,288
12705,15091,Directed,12705_15091,,,42,61712,172,45,9409,168,540
10721,10257,Directed,10721_10257,,,1131,2088296,10381,6866,0,2030,78009
13232,11721,Directed,13232_11721,,,1,32200,137,96,105,221,73
11618,10434,Directed,11618_10434,,,914,10789090,38108,22400,0,2232,27478
14730,15249,Directed,14730_15249,,,1,12350,50,30,0,542,78
12478,11298,Directed,12478_11298,,,701,22880070,80621,60930,577260,50076,138766
11996,10135,Directed,11996_10135,,,3,58124,150,97,0,1629,324
12889,14831,Directed,12889_14831,,,3076,104277070,435125,321479,281874,14668,192581
10245,12737,Directed,10245_12737,,,5,14000,45,21,540,178,175
10693,12892,Directed,10693_12892,,,1681,63216565,247063,202230,510508,86256,404630
14100,15502,Directed,14100_15502,,,2,57206,198,185,0,1810,273
11066,13296,Directed,11066_13296,,,4,76368,276,28,0,1884,362
13830,14747,Directed,13830_14747,,,970,59050778,190312,172049,561817,68640,302482
15554,10416,Directed,15554_10416,,,11,44075,35,25,10973,504,372
13806,10139,Directed,13806_10139,,,248,755000,2076,853,18092,1568,3372
12953,11618,Directed,12953_11618,,,5,122454,473,327,0,85,232
11973,11111,Directed,11973_11111,,,1,38844,136,2,0,607,89
12633,14270,Directed,12633_14270,,,1,1200,6,5,0,68,55
12003,10466,Directed,12003_10466,,,125,4251000,20740,18718,0,12714,16115
13970,10754,Directed,13970_10754,,,14,67650,292,190,517,3370,1174
10918,11049,Directed,10918_11049,,,1,34923,152,103,0,1075,125
13486,11898,Directed,13486_11898,,,1,44416,168,114,0,795,99
11292,14689,Directed,11292_14689,,,979,18272375,75559,64773,1110,28396,127249
12197,11995,Directed,12197_11995,,,5,72764,181,176,0,2405,601
10599,11995,Directed,10599_11995,,,3,98774,407,232,0,1275,222
12892,10721,Directed,12892_10721,,,3600,144991966,560893,499210,2548893,310709,1076091
12889,13198,Directed,12889_13198,,,1401,50147606,206781,169091,484945,45560,196361
13196,13676,Directed,13196_13676,,,282,374620,1374,246,3851,2240,5334
14895,13873,Directed,14895_13873,,,193,527400,1642,664,15398,9424,8171
11762,10666,Directed,11762_10666,,,1443,1821436,6989,425,9421,841,17532
12197,15020,Directed,12197_15020,,,2,20378,24,6,0,2028,324
13676,13196,Directed,13676_13196,,,247,330050,1215,237,268,2160,4577
13341,12953,Directed,13341_12953,,,1,35470,138,56,0,1104,156
14112,15502,Directed,14112_15502,,,5,143015,495,456,0,3250,464
15919,13367,Directed,15919_13367,,,1,12350,50,43,0,411,59
11042,12397,Directed,11042_12397,,,1,10680,37,35,0,288,82
11106,12197,Directed,11106_12197,,,22,68416,196,45,0,2046,1166
11003,13342,Directed,11003_13342,,,1,10000,50,46,0,208,86
12339,14683,Directed,12339_14683,,,4,259595,247,147,40260,3940,596
11845,15049,Directed,11845_15049,,,561,2478500,4700,2120,40486,3040,8144
14869,10299,Directed,14869_10299,,,332,17152420,60401,45403,111880,25500,87439
14919,12184,Directed,14919_12184,,,1,6350,28,9,11,700,207
13768,10313,Directed,13768_10313,,,1,1350,6,3,0,158,68
10666,16101,Directed,10666_16101,,,1,3986,12,12,0,180,0
10800,11295,Directed,10800_11295,,,1,3000,13,4,0,1987,220
13930,12889,Directed,13930_12889,,,4065,149495564,607270,552329,113543,168054,834269
14252,14771,Directed,14252_14771,,,615,8302500,30750,24966,0,7440,58984
13139,10874,Directed,13139_10874,,,1,42500,172,159,0,275,47
10154,12197,Directed,10154_12197,,,830,2673973,7442,4287,0,12224,51222
13198,14307,Directed,13198_14307,,,1,34600,143,143,0,1234,198
14082,16133,Directed,14082_16133,,,18,612000,2988,2425,0,2973,2388
11961,14275,Directed,11961_14275,,,1,6400,30,15,0,592,120
11392,15171,Directed,11392_15171,,,29,43500,203,34,6800,448,1305
10821,11267,Directed,10821_11267,,,918,22950000,107406,74149,0,4872,60653
10693,14683,Directed,10693_14683,,,691,22894416,94696,74488,240923,27126,86002
12094,11921,Directed,12094_11921,,,1,34600,143,72,0,117,21
15167,15618,Directed,15167_15618,,,4,11241,50,26,0,9824,948
10693,14771,Directed,10693_14771,,,2,115320,399,259,213,3936,518
12992,11973,Directed,12992_11973,,,3,110241,422,369,0,1050,149
12815,16346,Directed,12815_16346,,,7,9031,42,5,631,62,124
14747,14457,Directed,14747_14457,,,1,38000,150,122,201,958,119
14635,11259,Directed,14635_11259,,,1,34600,137,109,0,1005,162
11193,10800,Directed,11193_10800,,,1,2000,9,3,0,1891,255
14512,10874,Directed,14512_10874,,,1,44562,162,123,0,406,57
14574,14112,Directed,14574_14112,,,96,3361800,15864,14318,0,8016,9443
12391,14100,Directed,12391_14100,,,1309,11520548,49011,37648,917,2340,73815
14477,13055,Directed,14477_13055,,,72,264318,1313,189,258,117,1069
10372,10136,Directed,10372_10136,,,1,16800,65,42,1,619,128
11042,10135,Directed,11042_10135,,,6,65944,300,248,0,2034,467
11726,13198,Directed,11726_13198,,,1,17500,74,64,0,56,22
12184,10008,Directed,12184_10008,,,5,6500,25,5,1970,108,100
11259,12889,Directed,11259_12889,,,7,249557,962,563,2245,6402,923
11109,14262,Directed,11109_14262,,,1,13500,50,33,0,742,151
14489,11563,Directed,14489_11563,,,3,102000,450,437,0,1314,186
11292,11109,Directed,11292_11109,,,3696,60645675,235577,159920,2592,4307,66060
12944,15167,Directed,12944_15167,,,6,19644,54,22,0,879,456
14282,12853,Directed,14282_12853,,,221,275250,1308,420,4732,816,6295
13487,14952,Directed,13487_14952,,,6,248429,972,189,0,2352,353
12884,10333,Directed,12884_10333,,,1,13500,50,15,0,167,36
11292,14674,Directed,11292_14674,,,882,6548500,31297,20064,0,6060,50505
13256,10423,Directed,13256_10423,,,2,73700,270,169,0,558,180
14524,14098,Directed,14524_14098,,,1,13500,50,33,0,52,17
10299,14057,Directed,10299_14057,,,949,38828785,146819,119383,1015369,72474,180806
11298,10721,Directed,11298_10721,,,4159,180292644,629786,515398,6761883,117150,777048
15411,12992,Directed,15411_12992,,,1,10000,50,12,0,246,33
15885,12633,Directed,15885_12633,,,22,40700,132,6,1715,100,159
10466,13433,Directed,10466_13433,,,122,4149000,20242,18197,0,15132,18332
13487,10136,Directed,13487_10136,,,1,19092,69,47,0,928,154
14057,15370,Directed,14057_15370,,,2,70600,275,152,0,3064,386
11092,14237,Directed,11092_14237,,,299,1345500,5681,759,0,3828,21779
12889,12264,Directed,12889_12264,,,760,30876366,124916,111624,9289,115640,180864
15502,11577,Directed,15502_11577,,,2,57206,198,101,0,1502,211
13344,13930,Directed,13344_13930,,,672,9068500,33600,15824,0,1416,19844
14761,15295,Directed,14761_15295,,,92,3286000,15193,13540,0,10740,11172
14816,12615,Directed,14816_12615,,,2,2550,11,5,0,232,93
14828,15741,Directed,14828_15741,,,4,3600,18,4,0,552,434
15626,14843,Directed,15626_14843,,,4665,10102799,44009,23385,31636,1716,79721
14543,12888,Directed,14543_12888,,,2,15086,60,37,0,354,178
14869,10693,Directed,14869_10693,,,356,6972695,28003,25821,1290,25272,59972
14262,14679,Directed,14262_14679,,,4,103010,369,278,580,340,109
14679,12889,Directed,14679_12889,,,4812,166239288,708731,521668,599019,15996,244216
11638,12173,Directed,11638_12173,,,43,1868780,9523,7901,0,22707,13793
11106,11456,Directed,11106_11456,,,1,3450,8,2,0,162,60
10154,14100,Directed,10154_14100,,,5,15379,45,8,0,867,411
10800,15370,Directed,10800_15370,,,1,2000,8,2,0,1276,151
11630,14102,Directed,11630_14102,,,9,150100,55,18,81766,3444,1272
11618,12266,Directed,11618_12266,,,3946,184212136,637989,506694,4947170,166600,773007
11292,14696,Directed,11292_14696,,,144,4322886,19854,17082,404,9690,16893
14783,14761,Directed,14783_14761,,,138,4855504,22893,20974,0,16452,16334
11986,10466,Directed,11986_10466,,,105,4332000,17050,16078,0,26537,22500
13204,10279,Directed,13204_10279,,,1,34600,143,141,0,1285,249
11637,13487,Directed,11637_13487,,,2511,47019465,181805,142103,35623,24753,102227
14736,10800,Directed,14736_10800,,,3,8000,37,16,0,276,94
13487,14193,Directed,13487_14193,,,1,34938,126,89,0,1047,133
10781,14730,Directed,10781_14730,,,1,38844,136,2,0,611,80
11085,10140,Directed,11085_10140,,,614,2149000,5526,2587,0,2760,44822
12124,11699,Directed,12124_11699,,,2,17300,74,54,0,292,175
12720,12321,Directed,12720_12321,,,19,20650,103,36,10,891,696
12853,11492,Directed,12853_11492,,,1015,1618900,6391,2424,35895,2912,18513
10423,10155,Directed,10423_10155,,,1,38400,135,107,0,101,69
11066,13198,Directed,11066_13198,,,1,34600,143,17,176,632,102
10754,10551,Directed,10754_10551,,,2,9000,38,38,0,741,211
11193,13487,Directed,11193_13487,,,2415,41790255,127383,105439,2097315,45892,233999
11618,11884,Directed,11618_11884,,,4,162655,672,603,864,6534,1182
15624,14814,Directed,15624_14814,,,1,10090,44,26,0,452,145
13204,10434,Directed,13204_10434,,,14,484400,2002,1817,0,6608,1773
11630,13676,Directed,11630_13676,,,16,83190,83,19,67133,2574,1282
14100,14875,Directed,14100_14875,,,1,20334,54,44,0,316,52
10821,14492,Directed,10821_14492,,,3077,84369906,351591,256707,410343,17085,147867
14107,12544,Directed,14107_12544,,,5,212500,865,701,0,3572,1008
12206,15502,Directed,12206_15502,,,2,57206,198,120,0,1454,199
11066,14576,Directed,11066_14576,,,1,12350,50,46,0,346,107
12951,10397,Directed,12951_10397,,,1714,23369921,87429,71834,0,11066,127842
11952,14718,Directed,11952_14718,,,1,2200,8,2,0,233,74
12891,13667,Directed,12891_13667,,,1,50400,252,68,0,1251,145
10423,13367,Directed,10423_13367,,,1,38800,135,100,0,873,146
12217,13303,Directed,12217_13303,,,1,32870,149,103,0,722,139
10551,13873,Directed,10551_13873,,,18,84200,346,260,0,3113,1267
12889,14107,Directed,12889_14107,,,6629,243735593,964749,683996,811047,26265,304777
10581,10599,Directed,10581_10599,,,1,9999,15,3,0,1231,0
14869,12896,Directed,14869_12896,,,1,32200,143,143,3,744,129
15798,15257,Directed,15798_15257,,,3,3200,15,5,0,90,83
10299,15838,Directed,10299_15838,,,1,3000,9,8,0,464,110
12451,10868,Directed,12451_10868,,,4,106282,393,348,24,960,297
11996,14574,Directed,11996_14574,,,1,38604,150,2,0,209,42
14986,15304,Directed,14986_15304,,,4,145589,581,539,24,160,44
13184,13459,Directed,13184_13459,,,1,28603,99,56,0,254,45
13894,12853,Directed,13894_12853,,,1,1350,6,1,0,124,55
12223,12191,Directed,12223_12191,,,2,94200,360,271,0,1888,321
10581,12478,Directed,10581_12478,,,12,631926,2049,1917,27604,2674,788
14880,11028,Directed,14880_11028,,,57,100950,378,92,567,816,1166
14109,11259,Directed,14109_11259,,,1,34600,143,143,0,451,73
12264,13898,Directed,12264_13898,,,1,4171,12,6,0,913,0
13930,12945,Directed,13930_12945,,,2130,22496372,103321,74952,34667,13273,107049
10561,10423,Directed,10561_10423,,,1,17940,66,58,0,1293,193
12892,13367,Directed,12892_13367,,,1,39900,150,148,0,1606,223
11003,11259,Directed,11003_11259,,,1,10000,50,41,0,684,150
10397,10529,Directed,10397_10529,,,2273,76452237,336958,271532,418853,50681,248744
14730,11953,Directed,14730_11953,,,1,38844,136,3,0,618,85
14761,12323,Directed,14761_12323,,,7,238000,1162,865,0,426,444
13871,13485,Directed,13871_13485,,,5,55078,174,106,0,1795,338
12953,10994,Directed,12953_10994,,,1368,24152610,91353,66479,0,43588,132211
10257,13487,Directed,10257_13487,,,404,7840852,29861,24446,305,31360,58604
10551,11028,Directed,10551_11028,,,6,14250,45,12,2211,720,342
11259,14831,Directed,11259_14831,,,1,95240,102,58,21709,1450,220
13342,10590,Directed,13342_10590,,,14,494006,1833,1725,0,21336,2752
13930,11146,Directed,13930_11146,,,622,6220000,31100,20558,0,5001,39061
15085,12769,Directed,15085_12769,,,51,96950,300,115,4273,2035,1372
12953,14574,Directed,12953_14574,,,277,3181622,13850,4495,0,4860,18841
14100,10868,Directed,14100_10868,,,921,22619724,45959,29252,533023,8891,77122
10800,11098,Directed,10800_11098,,,1,2000,8,4,0,940,127
11996,13139,Directed,11996_13139,,,1,24062,50,22,0,238,61
11292,10868,Directed,11292_10868,,,1,34600,143,83,0,1362,153
13467,12184,Directed,13467_12184,,,1,1300,5,3,0,122,78
12889,11973,Directed,12889_11973,,,3,116292,422,266,0,3110,554
13768,14856,Directed,13768_14856,,,1,1350,6,2,0,97,44
14229,12773,Directed,14229_12773,,,60,111000,360,19,1623,11,172
14679,10821,Directed,14679_10821,,,719,28904470,117355,108141,300725,66555,192738
13930,13303,Directed,13930_13303,,,4007,182991055,591170,516445,10163889,131670,615412
11697,10529,Directed,11697_10529,,,1006,36857800,149370,125835,57860,41055,150913
12953,12478,Directed,12953_12478,,,12,312710,1295,855,111,132,349
12214,14474,Directed,12214_14474,,,9,22800,74,11,726,648,258
13487,14524,Directed,13487_14524,,,427,7505759,29054,24426,94,32010,51716
13121,14802,Directed,13121_14802,,,1,6345,34,30,0,87,75
14109,13241,Directed,14109_13241,,,19,120555,644,181,0,414,398
12206,10747,Directed,12206_10747,,,1,10000,50,24,0,26,13
10225,10783,Directed,10225_10783,,,3,3950,11,4,150,1002,323
11278,11587,Directed,11278_11587,,,2,82195,324,312,0,1398,195
10917,14167,Directed,10917_14167,,,30,67100,258,95,1051,1010,1268
12451,15304,Directed,12451_15304,,,867,5871225,31599,20542,1422,4163,42174
10643,10194,Directed,10643_10194,,,1,32200,137,135,0,338,85
10466,11109,Directed,10466_11109,,,2,70000,312,181,0,1086,145
15356,13987,Directed,15356_13987,,,21,82650,172,76,0,847,702
14919,10551,Directed,14919_10551,,,42,234228,38,10,12738,3510,3621
14122,10599,Directed,14122_10599,,,2,83330,333,224,0,1196,195
12223,11697,Directed,12223_11697,,,50,1717700,7633,6924,0,6872,6092
11986,15380,Directed,11986_15380,,,361,1317190,276,165,433178,2193,17681
14193,14635,Directed,14193_14635,,,4,49400,200,156,0,1708,435
12323,13230,Directed,12323_13230,,,2,35548,100,82,0,826,188
12217,14814,Directed,12217_14814,,,11,236034,135,103,103909,2170,730
15042,14871,Directed,15042_14871,,,2,6168,18,14,0,210,0
13367,15412,Directed,13367_15412,,,1,34000,166,160,0,524,66
12173,13796,Directed,12173_13796,,,845,86689501,120994,105570,24125977,89133,235222
12478,14986,Directed,12478_14986,,,474,15062000,59200,45567,0,21861,72401
14057,13486,Directed,14057_13486,,,99,1778400,7614,6842,9363,2090,6722
12709,10996,Directed,12709_10996,,,1,1200,6,1,0,89,45
14492,14635,Directed,14492_14635,,,1,34600,143,59,593,667,133
14570,10800,Directed,14570_10800,,,1,34000,166,135,0,374,54
12197,10257,Directed,12197_10257,,,2,12000,18,6,0,232,72
10529,13487,Directed,10529_13487,,,1320,34698048,138613,110737,33514,91350,206230
14696,14112,Directed,14696_14112,,,156,5312500,25903,23622,0,12649,19545
12896,14683,Directed,12896_14683,,,2,42200,187,128,9,692,175
13377,13851,Directed,13377_13851,,,2,83717,330,128,0,376,114
14057,13232,Directed,14057_13232,,,684,26425600,107774,100389,358639,49028,146366
14771,13487,Directed,14771_13487,,,2735,117399235,442285,373510,814860,197036,505503
13930,13342,Directed,13930_13342,,,4595,61124939,224299,172643,251953,4824,90272
15304,12197,Directed,15304_12197,,,356,9327200,35600,30149,725,12384,50932
12339,11193,Directed,12339_11193,,,8,221269,320,286,41394,693,192
12197,10135,Directed,12197_10135,,,3,20650,55,24,0,285,103
10208,15502,Directed,10208_15502,,,11,314633,1089,911,0,4890,883
14539,10540,Directed,14539_10540,,,1,3450,8,7,0,156,42
11615,13541,Directed,11615_13541,,,1004,1807200,9036,3719,0,312,14458
13930,11278,Directed,13930_11278,,,7560,247796704,956273,721103,59095,72216,628066
10781,12448,Directed,10781_12448,,,2,44536,170,103,0,276,54
10154,12250,Directed,10154_12250,,,15168,35109507,136512,86669,0,1550,204872
11278,13487,Directed,11278_13487,,,2804,91039554,360343,269460,114489,98686,388725
10721,15249,Directed,10721_15249,,,1,77250,261,252,0,1108,127
11292,12758,Directed,11292_12758,,,51,2394962,9269,7331,6957,39948,21209
10559,11525,Directed,10559_11525,,,5,8795,36,6,0,1692,0
12851,13770,Directed,12851_13770,,,1,1200,6,5,0,76,34
12898,10374,Directed,12898_10374,,,1,1320,4,2,0,444,78
13232,15376,Directed,13232_15376,,,577,19964200,82469,71410,173292,17280,114387
10868,14108,Directed,10868_14108,,,1,10000,50,44,0,661,163
11995,13377,Directed,11995_13377,,,1,42461,162,144,0,734,102
12175,12728,Directed,12175_12728,,,1,1350,5,1,0,270,124
15721,11550,Directed,15721_11550,,,14,65650,18,12,3493,688,476
11697,11140,Directed,11697_11140,,,2,77999,310,283,1618,2152,351
14730,11618,Directed,14730_11618,,,2088,187557153,44904,28944,97001963,44298,189377
15721,14234,Directed,15721_14234,,,2,2700,12,2,0,222,101
14122,13232,Directed,14122_13232,,,1922,68961100,284879,207564,279445,14874,129982
11298,10372,Directed,11298_10372,,,166,2788800,10664,8799,18,5608,17824
11643,15124,Directed,11643_15124,,,1,2370,9,6,452,134,41
11042,13485,Directed,11042_13485,,,486,4910079,24402,17678,0,6432,32454
14262,14252,Directed,14262_14252,,,2,68000,332,259,0,1738,300
14092,14109,Directed,14092_14109,,,1,37400,150,139,0,746,119
13230,11618,Directed,13230_11618,,,838,8689468,28346,18660,250185,7614,35700
15376,10590,Directed,15376_10590,,,18,612525,2229,1655,0,5032,918
10396,13767,Directed,10396_13767,,,3,13500,57,46,0,453,112
13292,14474,Directed,13292_14474,,,2,1650,7,5,96,224,154
14574,13485,Directed,14574_13485,,,1,34500,137,117,0,637,96
14125,10754,Directed,14125_10754,,,616,2285650,5916,2015,16704,6480,34039
11109,12012,Directed,11109_12012,,,2,61500,234,137,0,244,67
11193,10434,Directed,11193_10434,,,3,35000,148,133,0,998,333
14831,11884,Directed,14831_11884,,,2,61600,273,75,0,1484,197
12206,13230,Directed,12206_13230,,,10,350000,1555,1289,0,10773,1793
14100,15389,Directed,14100_15389,,,1,41370,160,153,33,2036,322
15589,14794,Directed,15589_14794,,,2,7000,38,34,0,110,75
15048,13930,Directed,15048_13930,,,649,7981250,32360,24693,1261,9592,43023
11042,15412,Directed,11042_15412,,,2,96954,50,42,5098,806,186
13342,11637,Directed,13342_11637,,,2,62200,137,116,20073,1032,195
12191,12448,Directed,12191_12448,,,819,27526800,114447,82175,264380,10770,43067
14273,12641,Directed,14273_12641,,,56,154875,500,187,11096,637,1364
10693,11697,Directed,10693_11697,,,823,27711570,116336,95469,178771,22997,90311
14683,15295,Directed,14683_15295,,,6,155600,750,76,1231,5840,911
11123,12954,Directed,11123_12954,,,1,91010,120,45,0,1592,0
13204,13029,Directed,13204_13029,,,2,137505,494,453,0,2448,335
11267,11995,Directed,11267_11995,,,1,17600,67,50,0,351,83
11844,14234,Directed,11844_14234,,,3,10200,27,12,0,268,255
11492,12708,Directed,11492_12708,,,38,64750,261,96,842,714,724
15502,14321,Directed,15502_14321,,,1,28603,99,97,0,1236,182
10721,12339,Directed,10721_12339,,,1309,82693402,63319,38846,39589906,65440,164476
11278,15919,Directed,11278_15919,,,30,732328,1619,1045,0,3852,4802
11193,10990,Directed,11193_10990,,,1,12240,50,42,0,342,67
13577,11146,Directed,13577_11146,,,53,1537000,7685,6535,0,2136,2923
11423,14730,Directed,11423_14730,,,237,22337461,143,37,10395932,14430,16326
11697,13851,Directed,11697_13851,,,3,106882,462,443,0,3654,680
12264,10408,Directed,12264_10408,,,2,154806,455,340,3967,1358,196
10994,12266,Directed,10994_12266,,,599,6035800,29874,26549,24036,15725,84669
14747,10721,Directed,14747_10721,,,1360,57297012,216650,191200,2766824,89856,388296
10257,11278,Directed,10257_11278,,,1213,24285545,83035,59693,1050,13992,81668
11511,14119,Directed,11511_14119,,,77,211200,684,164,9109,688,1712
13756,10874,Directed,13756_10874,,,1,80700,225,163,0,2105,237
