id,label,timeset,State_name
30,Montana,,Montana
54,West Virginia,,West Virginia
51,Virginia,,Virginia
50,Vermont,,Vermont
35,New Mexico,,New Mexico
24,Maryland,,Maryland
25,Massachusetts,,Massachusetts
26,Michigan,,Michigan
27,Minnesota,,Minnesota
20,Kansas,,Kansas
21,Kentucky,,Kentucky
48,Texas,,Texas
49,Utah,,Utah
46,South Dakota,,South Dakota
47,Tennessee,,Tennessee
44,Rhode Island,,Rhode Island
45,South Carolina,,South Carolina
42,Pennsylvania,,Pennsylvania
29,Missouri,,Missouri
40,Oklahoma,,Oklahoma
41,Oregon,,Oregon
1,Alabama,,Alabama
2,Alaska,,Alaska
5,Arkansas,,Arkansas
4,Arizona,,Arizona
6,California,,California
9,Connecticut,,Connecticut
8,Colorado,,Colorado
28,Mississippi,,Mississippi
56,Wyoming,,Wyoming
13,Georgia,,Georgia
75,U.S. Pacific Trust Territories and Possessions,,U.S. Pacific Trust Territories and Possessions
38,North Dakota,,North Dakota
72,Puerto Rico,,Puerto Rico
78,U.S. Virgin Islands,,U.S. Virgin Islands
10,Delaware,,Delaware
39,Ohio,,Ohio
12,Florida,,Florida
15,Hawaii,,Hawaii
22,Louisiana,,Louisiana
17,Illinois,,Illinois
16,Idaho,,Idaho
19,Iowa,,Iowa
18,Indiana,,Indiana
31,Nebraska,,Nebraska
23,Maine,,Maine
37,North Carolina,,North Carolina
36,New York,,New York
53,Washington,,Washington
34,New Jersey,,New Jersey
55,Wisconsin,,Wisconsin
32,Nevada,,Nevada
33,New Hampshire,,New Hampshire
